id;Country;Name;Sector;;
1;Poland;PKO BP MBIL IV;Credit lines;;
2;Poland;TRI-CITY FAST URBAN RAILWAY;Transport;;
3;Denmark;TEMPLAFY (EGFF);Services;;
4;Egypt;URBAN TRANSPORT INFRASTRUCTURE FRAMEWORK EGYPT;Transport;;
5;Hungary;STRUCTURAL FUNDS CO-FINANCING II (HU);Services;;
;Hungary;STRUCTURAL FUNDS CO-FINANCING II (HU);Education;;
;Denmark;TEMPLAFY (EGFF);Services;;
;Hungary;MFB COVID-19 RESPONSE FOR SMES & MIDCAPS;Credit lines;;
;Hungary;STRUCTURAL FUNDS CO-FINANCING II (HU);Credit lines;;
;Slovenia;TELEKOM SLOVENIJE FIBRE ROLLOUT EXTENSION;Telecom;;
;Cyprus;EAC VASILIKOS CCGT UNIT 6;Energy;;
;Croatia;PBZ AGRICULTURE LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Slovenia;TELEKOM SLOVENIJE FIBRE ROLLOUT EXTENSION;Telecom;;
;France;EDUCATION SEINE-ET-MARNE;Education;;
;Hungary;STRUCTURAL FUNDS CO-FINANCING II (HU);Urban development;;
;Kenya;KENYA AGRICULTURE VALUE CHAIN FACILITY;Credit lines;;
;Hungary;STRUCTURAL FUNDS CO-FINANCING II (HU);Telecom;;
;Latvia;LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES;Credit lines;;
;Germany;SAB KOMMUNALE INVESTITIONEN SACHSEN MBIL;Credit lines;;
;Italy;CLIMATE CITY MILANO COVID-19 FL;Solid waste;;
;Lithuania;LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES;Credit lines;;
;Lithuania;LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES;Credit lines;;
;Italy;CLIMATE CITY MILANO COVID-19 FL;Urban development;;
;Latvia;LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES;Credit lines;;
;Germany;BAVARIA SOCIAL AND ENERGY EFFICIENT HOUSING;Services;;
;Belgium;FLUVIUS SMART METERS;Energy;;
;Estonia;LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES;Credit lines;;
;Estonia;LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES;Credit lines;;
;Italy;CLIMATE CITY MILANO COVID-19 FL;Transport;;
;Germany;SNP TRANSFORMATION SOFTWARE;Services;;
;France;REGION GRAND-EST MATERIEL ROULANT;Transport;;
;France;CARGOBEAMER (FM);Transport;;
;France;NOUVEL HOPITAL DE LENS;Health;;
;Czech Republic;CD CARGO ROLLING STOCK;Transport;;
;New Caledonia;PACIFIC OCTS COVID-19 FINANCIAL SECTOR FACILITY;Credit lines;;
;Germany;CARGOBEAMER (FM);Transport;;
;Cambodia;SAAMBAT SUSTAINABLE RURAL DEVELOPMENT CAMBODIA;Transport;;
;Spain;BANCA MARCH LOAN FOR SMES AND MIDCAPS IV;Credit lines;;
;The Netherlands;HVC DISTRICT HEATING NETWORK EXPANSION;Energy;;
;Germany;KRANKENHAUSINVESTITIONSPROGRAMM BRANDENBURG II;Health;;
;Italy;CARGOBEAMER (FM);Transport;;
;Austria;BAWAG PSK URBAN DEVELOPMENT;Urban development;;
;Palestine*;VITAS PALESTINE;Credit lines;;
;Mexico;NAFIN SMES SUPPORT COVID-19 RESPONSE;Credit lines;;
;Italy;UC COVID-19 LOAN FOR MIDCAPS;Credit lines;;
;Belgium;WALLONIA WASTEWATER AND BIODIVERSITY SPGE (NCFF);Water, sewerage;;
;Kenya;IHS KENYA ENERGY EFFICIENT HOUSING;Urban development;;
;Bulgaria;BONI MEAT PRODUCTION;Energy;;
;;COVID-19 VACCINE VOLUME ALLOCATION (COVAX);Health;;
;Spain;FERRER PHARMACEUTICAL RDI III;Industry;;
;;BLUEORCHARD INSURESILIENCE INVESTMENT DEBT FUND;Services;;
;Georgia;BANK OF GEORGIA - LOAN FOR SMES AND MID-CAPS II;Credit lines;;
;;COVID-19 VACCINE VOLUME ALLOCATION (COVAX);Health;;
;Romania;BUCHAREST MEDICINE UNIVERSITY;Education;;
;Bulgaria;BONI MEAT PRODUCTION;Industry;;
;Romania;BUCHAREST MEDICINE UNIVERSITY;Services;;
;Germany;PUBLIC INVESTMENTS HALLE;Transport;;
;Germany;PUBLIC INVESTMENTS HALLE;Energy;;
;Germany;PUBLIC INVESTMENTS HALLE;Water, sewerage;;
;Austria;BTV COVID-19 ABS FOR SMES & MIDCAPS;Credit lines;;
;;COVID-19 VACCINE VOLUME ALLOCATION (COVAX);Health;;
;Italy;LEONARDO R&D;Industry;;
;Bulgaria;BONI MEAT PRODUCTION;Agriculture, fisheries, forestry;;
;France;REFONTE ACHERES SEINE AVAL;Water, sewerage;;
;France;COLLECTIVITES FRANCE VS COVID 19 GRAND CHAMBERY;Water, sewerage;;
;Czech Republic;MONETA COVID19 RESPONSE FOR SME & MIDCAPS;Credit lines;;
;France;IN LI LOGEMENT INTERMEDIAIRE;Urban development;;
;Germany;LBBW COVID-19 ABS FOR SMES & MIDCAPS;Credit lines;;
