id,Name,Date,Amount,
1,PKO BP MBIL IV,18/12/2020,50000000.00,
2,TRI-CITY FAST URBAN RAILWAY,18/12/2020,44663793.00,
3,TEMPLAFY (EGFF),17/12/2020,6000000.00,
4,URBAN TRANSPORT INFRASTRUCTURE FRAMEWORK EGYPT,17/12/2020,600000000.00,
5,STRUCTURAL FUNDS CO-FINANCING II (HU),17/12/2020,80000000.00,
6,STRUCTURAL FUNDS CO-FINANCING II (HU),17/12/2020,28000000.00,
7,TEMPLAFY (EGFF),17/12/2020,6000000.00,
8,MFB COVID-19 RESPONSE FOR SMES & MIDCAPS,17/12/2020,50000000.00,
9,STRUCTURAL FUNDS CO-FINANCING II (HU),17/12/2020,28000000.00,
10,TELEKOM SLOVENIJE FIBRE ROLLOUT EXTENSION,17/12/2020,26316931.00,
11,EAC VASILIKOS CCGT UNIT 6,17/12/2020,76000000.00,
12,PBZ AGRICULTURE LOAN FOR SMES AND MIDCAPS,17/12/2020,20000000.00,
13,TELEKOM SLOVENIJE FIBRE ROLLOUT EXTENSION,17/12/2020,73683069.00,
14,EDUCATION SEINE-ET-MARNE,17/12/2020,140000000.00,
15,STRUCTURAL FUNDS CO-FINANCING II (HU),17/12/2020,54000000.00,
16,KENYA AGRICULTURE VALUE CHAIN FACILITY,17/12/2020,25000000.00,
17,STRUCTURAL FUNDS CO-FINANCING II (HU),17/12/2020,10000000.00,
18,LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES,16/12/2020,25000864.00,
19,SAB KOMMUNALE INVESTITIONEN SACHSEN MBIL,16/12/2020,50000000.00,
20,CLIMATE CITY MILANO COVID-19 FL,16/12/2020,9000000.00,
21,LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES,16/12/2020,18750000.00,
22,LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES,16/12/2020,25000864.00,
23,CLIMATE CITY MILANO COVID-19 FL,16/12/2020,71000000.00,
24,LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES,16/12/2020,18750000.00,
25,BAVARIA SOCIAL AND ENERGY EFFICIENT HOUSING,16/12/2020,100000000.00,
26,FLUVIUS SMART METERS,16/12/2020,50000000.00,
27,LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES,16/12/2020,37500000.00,
28,LUMINOR COVID-19 ENHANCED SUPPORT FOR SMES,16/12/2020,50001728.00,
29,CLIMATE CITY MILANO COVID-19 FL,16/12/2020,20000000.00,
30,SNP TRANSFORMATION SOFTWARE,16/12/2020,30000000.00,
31,REGION GRAND-EST MATERIEL ROULANT,16/12/2020,240000000.00,
32,CARGOBEAMER (FM),15/12/2020,8000000.00,
33,NOUVEL HOPITAL DE LENS,15/12/2020,85000000.00,
34,CD CARGO ROLLING STOCK,15/12/2020,130000000.00,
35,PACIFIC OCTS COVID-19 FINANCIAL SECTOR FACILITY,15/12/2020,20000000.00,
36,CARGOBEAMER (FM),15/12/2020,2400000.00,
37,SAAMBAT SUSTAINABLE RURAL DEVELOPMENT CAMBODIA,15/12/2020,13750000.00,
38,BANCA MARCH LOAN FOR SMES AND MIDCAPS IV,15/12/2020,100000000.00,
39,HVC DISTRICT HEATING NETWORK EXPANSION,15/12/2020,50000000.00,
40,KRANKENHAUSINVESTITIONSPROGRAMM BRANDENBURG II,15/12/2020,50000000.00,
41,CARGOBEAMER (FM),15/12/2020,2200000.00,
42,BAWAG PSK URBAN DEVELOPMENT,14/12/2020,100000000.00,
43,VITAS PALESTINE,14/12/2020,2713370.00,
44,NAFIN SMES SUPPORT COVID-19 RESPONSE,14/12/2020,123334978.00,
45,UC COVID-19 LOAN FOR MIDCAPS,14/12/2020,250000000.00,
46,WALLONIA WASTEWATER AND BIODIVERSITY SPGE (NCFF),14/12/2020,4500000.00,
47,IHS KENYA ENERGY EFFICIENT HOUSING,14/12/2020,36000000.00,
48,BONI MEAT PRODUCTION,11/12/2020,3600000.00,
49,COVID-19 VACCINE VOLUME ALLOCATION (COVAX),11/12/2020,170000000.00,
50,FERRER PHARMACEUTICAL RDI III,11/12/2020,50000000.00,
51,BLUEORCHARD INSURESILIENCE INVESTMENT DEBT FUND,11/12/2020,8246063.00,
52,BANK OF GEORGIA - LOAN FOR SMES AND MID-CAPS II,11/12/2020,25000000.00,
53,COVID-19 VACCINE VOLUME ALLOCATION (COVAX),11/12/2020,100000000.00,
54,BUCHAREST MEDICINE UNIVERSITY,11/12/2020,11760000.00,
55,BONI MEAT PRODUCTION,11/12/2020,3300000.00,
56,BUCHAREST MEDICINE UNIVERSITY,11/12/2020,12240000.00,
57,PUBLIC INVESTMENTS HALLE,11/12/2020,88000000.00,
58,PUBLIC INVESTMENTS HALLE,11/12/2020,62000000.00,
59,PUBLIC INVESTMENTS HALLE,11/12/2020,50000000.00,
60,BTV COVID-19 ABS FOR SMES & MIDCAPS,11/12/2020,86326638.00,
61,COVID-19 VACCINE VOLUME ALLOCATION (COVAX),11/12/2020,130000000.00,
62,LEONARDO R&D,11/12/2020,200000000.00,
63,BONI MEAT PRODUCTION,11/12/2020,23097690.00,
64,REFONTE ACHERES SEINE AVAL,10/12/2020,250000000.00,
65,COLLECTIVITES FRANCE VS COVID 19 GRAND CHAMBERY,10/12/2020,30000000.00,
66,MONETA COVID19 RESPONSE FOR SME & MIDCAPS,10/12/2020,70000000.00,
67,IN LI LOGEMENT INTERMEDIAIRE,10/12/2020,60000000.00,
68,LBBW COVID-19 ABS FOR SMES & MIDCAPS,10/12/2020,95000000.00,
69,WEST AFRICA MICROFINANCE FACILITY,10/12/2020,5000000.00,
70,MALMO EDUCATION INFRASTRUCTURE,10/12/2020,156257630.00,
71,VOLVO CARS INNOVATIVE TECHNOLOGIES RDI,10/12/2020,100000000.00,
72,PDB COVID19 RESPONSE FOR SMES&MIDCAPS,10/12/2020,20000000.00,
73,UKRAINE URBAN PUBLIC TRANSPORT FL II,09/12/2020,200000000.00,
74,UKRAINE RECOVERY PROGRAMME,09/12/2020,34000000.00,
75,NOORD HOLLAND SUSTAINABLE DRINKING WATER SUPPLY,09/12/2020,100000000.00,
76,UKRAINE RECOVERY PROGRAMME,09/12/2020,34000000.00,
77,UKRAINE RECOVERY PROGRAMME,09/12/2020,34000000.00,
78,SOCIETE GENERALE RENEWABLE ENERGY FL ITALY,09/12/2020,125000000.00,
79,WACKER CHEMIE SUSTAINABLE SOLUTIONS,09/12/2020,290000000.00,
80,ERSTE GREEN HOUSING MBIL,09/12/2020,50000000.00,
81,CAMBODIA IRRIGATED AGRICULTURE IMPROVEMENT,09/12/2020,80000000.00,
82,UKRAINE RECOVERY PROGRAMME,09/12/2020,238000000.00,
83,ING BANK COVID19 ENHANCED SME AND MIDCAP SUPPORT,08/12/2020,54335298.00,
84,ING BANK COVID19 ENHANCED SME AND MIDCAP SUPPORT,08/12/2020,6037255.00,
